"EbeneNice";"PosTyp";"id_stu";"FA_Nr";"id_pos";"ueb_s_nr";"ds";"pos_nr";"verurs_art";"t_tg_nr";"oa";"Bezeichnung";"unipps_typ";"besch_art";"praeferenzkennung";"menge";"sme";"faktlme_sme";"lme";"bestell_id";"bestell_datum";"preis";"basis";"pme";"bme";"faktlme_bme";"faktbme_pme";"lieferant";"kurzname";"MengeTotal";"PreisEU";"PreisNonEU";"SummeEU";"SummeNonEU";"vk_netto"
"...4";"FA_Pos";"616034";"";2;1;3;20;;"R_A01LA0000000T";1;"Vorlage Reihen Baugr";"NE_Lagerung_Gr1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;80,7831;15,0416704658333;
"....5";"FA_Serie";"R_A01LA0000000T";"623344";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;80,7831;15,0416704658333;
".....6";"FA_Pos";"623344";"";1;0;3;10;;"210E22335SCB099";1;"Welle";"NE-Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;14,4410704658333;
"......7";"FA_Serie";"210E22335SCB099";"620775";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;14,4410704658333;
".......8";"FA_Pos";"620775";"";1;0;3;10;;"ESTØ45M0405";1;"Rundstahl gesägt";"Stahl";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;14,4410704658333;
"........9";"FA_Serie";"ESTØ45M0405";"618042";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;14,4410704658333;
".........10";"FA_Pos";"618042";"";1;0;3;10;;"ESTØ45D";1;"Rundstahl";"Stahl";;0;428,5714;2;1000;5;59139;"14;07;1905";2700;1;18;5;1;0,01248;3020210;"BRÜCK";428,5714;0;14,4410704658333;0;14,4410704658333;
".....6";"FA_Pos";"623344";"";2;0;3;20;;"321FA0350SKL003";1;"Rillenkugellager";"";;1;2;1;1;1;59373;"14;07;1905";5,38;1;1;1;1;1;3010380;"A+R";2;10,76;0;10,76;0;
".....6";"FA_Pos";"623344";"";3;0;3;30;;"350L31007GGB219";1;"Lagergehäuse";"NE-Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;55,44;0;
"......7";"FA_Serie";"350L31007GGB219";"620469";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;55,44;0;
".......8";"FA_Pos";"620469";"";1;0;3;10;;"350G31007GGBFT3";1;"Lagergehäuse";"NE-Grße 1";;1;1;1;1;1;59375;"14;07;1905";55,44;1;1;1;1;1;4160040;"RADEM2";1;55,44;0;55,44;0;
".....6";"FA_Pos";"623344";"";4;0;3;40;;"360A31008GGB019";1;"Lagerdeckel";"NE-Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;4,71;0;
"......7";"FA_Serie";"360A31008GGB019";"620038";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;4,71;0;
".......8";"FA_Pos";"620038";"";1;0;3;10;;"360B31008GGBFT3";1;"Lagerdeckel";"NE-Grße 1";;1;1;1;1;1;58595;"14;07;1905";4,71;1;1;1;1;1;4160040;"RADEM2";1;4,71;0;4,71;0;
".....6";"FA_Pos";"623344";"";5;0;3;50;;"361F31009GGB019";1;"Endlagerdeckel";"NE-Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;4,67;0;
"......7";"FA_Serie";"361F31009GGB019";"619385";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;4,67;0;
".......8";"FA_Pos";"619385";"";1;0;3;10;;"361G31009GGBFT3";1;"Endlagerdeckel";"NE-Grße 1";;1;1;1;1;1;58805;"14;07;1905";4,67;1;1;1;1;1;4160040;"RADEM2";1;4,67;0;4,67;0;
".....6";"FA_Pos";"623344";"";6;0;3;60;;"412BA8222EVW262";1;"Runddichtring";"Ø 82,22 x Ø2,62";;1;2;1;1;1;58949;"14;07;1905";63,06;1;30;1;1;0,01;3070360;"GEHRCKENS";2;1,2612;0;1,2612;0;
".....6";"FA_Pos";"623344";"";7;0;3;70;;"420AB0035EKN000";1;"V-Ring";"";;1;1;1;1;1;58922;"14;07;1905";19,9;1;30;1;1;0,01;3050460;"ERIKS";1;0,199;0;0,199;0;
".....6";"FA_Pos";"623344";"";8;0;3;80;;"420IB0030EKN000";1;"V-Ring";"";;1;1;1;1;1;58944;"14;07;1905";23,04;1;30;1;1;0,01;3120090;"FREUDENBERG";1;0,2304;0;0,2304;0;
".....6";"FA_Pos";"623344";"";9;0;3;90;;"901BB0008SAA020";1;"Sechskantschraube";"M8x20";;0;8;1;1;1;58445;"14;07;1905";6,16;1;30;1;1;0,01;3230430;"WASI";8;0;0,4928;0;0,4928;
".....6";"FA_Pos";"623344";"";10;0;3;100;;"921IA0035SKH007";1;"Wellenmutter";"M35x1,5";;1;1;1;1;1;58766;"14;07;1905";2,8;1;1;1;1;1;3010380;"A+R";1;2,8;0;2,8;0;
".....6";"FA_Pos";"623344";"";11;0;3;110;;"931GA0350SKH007";1;"Sicherungsblech";"Ø35";;1;1;1;1;1;58768;"14;07;1905";0,35;1;1;1;1;1;3010380;"A+R";1;0,35;0;0,35;0;
".....6";"FA_Pos";"623344";"";12;0;3;120;;"932HB0800SKF250";1;"Sicherungsring";"Ø80x2,5";;1;1;1;1;1;58927;"14;07;1905";36,25;1;30;1;1;0,01;3170170;"SN";1;0,3625;0;0,3625;0;
".....6";"FA_Pos";"623344";"";13;0;3;130;;"940GA0807SKK040";1;"Paßfeder";"8x7x40";;0;1;1;1;1;58510;"14;07;1905";10,78;1;30;1;1;0,01;3120320;"MELCHIOR";1;0;0,1078;0;0,1078;
"...4";"FA_Pos";"616034";"";3;1;3;30;;"101G27842PEH019";1;"Pumpengehäuse";"NE 50-32-200";;0;1;1;1;1;;;;;;;;;;"";1;0;0;139,75;0;
"....5";"FA_Serie";"101G27842PEH019";"622391";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;139,75;0;
".....6";"FA_Pos";"622391";"";1;0;3;10;;"101H27842PEHFT3";1;"Pumpengehäuse";"NE 50-32-200";;1;1;1;1;1;59297;"14;07;1905";139,75;1;1;1;1;1;3140100;"OTTEN";1;139,75;0;139,75;0;
"...4";"FA_Pos";"616034";"";4;1;3;40;;"103A27836GGG019";1;"Ringgehäuse";"NE 50-32-200";;0;1;1;1;1;;;;;;;;;;"";1;0;0;98,68;0;
"....5";"FA_Serie";"103A27836GGG019";"617295";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;98,68;0;
".....6";"FA_Pos";"617295";"";1;0;3;10;;"103B27836GGGFT3";1;"Ringgehäuse";"NE 50-32-200";;1;1;1;1;1;59128;"14;07;1905";98,68;1;1;1;1;1;3050210;"EICKHOFF";1;98,68;0;98,68;0;
"...4";"FA_Pos";"616034";"";5;1;3;50;;"130E27915GGG019";1;"Gehäuseteil";"NE 02/03/04";;0;1;1;1;1;;;;;;;;;;"";1;0;0;6,235;0;
"....5";"FA_Serie";"130E27915GGG019";"617684";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;6,235;0;
".....6";"FA_Pos";"617684";"";1;0;3;10;;"130F27915GGGFT3";1;"Gehäuseteil";"NE 02/03/04";;1;0,5;1;1;1;58418;"14;07;1905";12,47;1;1;1;1;1;3050210;"EICKHOFF";0,5;6,235;0;6,235;0;
"...4";"FA_Pos";"616034";"";6;1;3;60;;"145F28118GGG019";1;"Verbindungsstck";"NE 50-32-200";;0;1;1;1;1;;;;;;;;;;"";1;0;0;65,88;0;
"....5";"FA_Serie";"145F28118GGG019";"624871";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;65,88;0;
".....6";"FA_Pos";"624871";"";1;0;3;10;;"145G28118GGGFT3";1;"Verbindungsstck";"NE 50-32-200";;1;1;1;1;1;58558;"14;07;1905";65,88;1;1;1;1;1;3050210;"EICKHOFF";1;65,88;0;65,88;0;
"...4";"FA_Pos";"616034";"";7;1;3;70;;"183F30136STA029";1;"Sttzfuß";"03/07/12";;1;1;1;1;1;59029;"14;07;1905";11,95;1;1;1;1;1;3120880;"MHM";1;11,95;0;11,95;0;
"...4";"FA_Pos";"616034";"";8;1;3;80;;"233AEN165PER149";1;"Linkslaufrad, halbof";"32-200";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;8,89;
"....5";"FA_Serie";"233AEN165PER149";"616163";;;;1;2;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;8,89;
".....6";"FA_Pos";"616163";"";1;0;3;10;;"233H23538PERN03";1;"Linkslaufrad, halbof";"32+40+50-200";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;8,89;
"......7";"FA_Serie";"233H23538PERN03";"617271";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;8,89;
".......8";"FA_Pos";"617271";"";1;0;3;10;;"233D23538PERF03";1;"Linkslaufrad, halbof";"32+40+50-200";;1;1;1;1;1;;;;;;;;;;"";1;0;0;0;8,89;
"........9";"Teil";"233D23538PERF03";"";;;;10;;"544C30439NKM019";1;"Gewindebuchse";"Grße 1";;0;1;1;1;1;53670;"11;07;1905";8,89;1;1;1;1;1;3170610;"SIPS";1;0;8,89;0;8,89;
"...4";"FA_Pos";"616034";"";9;1;3;90;;"400CB0000EXE011";1;"Flachdichtung";"Ø11x1";;0;1;1;1;1;51314;"11;07;1905";69;1;30;1;1;0,01;3230010;"WOLTERHOFF";1;0;0,69;0;0,69;
"...4";"FA_Pos";"616034";"";10;1;3;100;;"412LA5334EXE533";1;"Runddichtring";"Ø 53,34 x Ø5,33";;1;1;1;1;1;54483;"12;07;1905";91,09;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,910869565217391;0;0,910869565217391;0;
"...4";"FA_Pos";"616034";"";11;1;3;110;;"412BA6287EXE533";1;"Runddichtring";"Ø 62,87 x Ø5,33";;1;1;1;1;1;54142;"12;07;1905";87,61;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,876083333333333;0;0,876083333333333;0;
"...4";"FA_Pos";"616034";"";12;1;3;120;;"412LC4300EXE400";1;"Runddichtring";"Ø243,00 x Ø4,00";;1;1;1;1;1;59166;"14;07;1905";344,92;1;30;1;1;0,01;3070360;"GEHRCKENS";1;3,44909090909091;0;3,44909090909091;0;
"...4";"FA_Pos";"616034";"";13;1;3;130;;"412GA2189EXE262";1;"Runddichtring";"Ø 21,89 x Ø2,62";;0;1;1;1;1;39383;"05;07;1905";51,08;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0;0,51078125;0;0,51078125;
"...4";"FA_Pos";"616034";"";14;1;3;140;;"412IA3600EXE300";1;"Runddichtring";"Ø 36,00 x Ø3,00";;1;1;1;1;1;56276;"13;07;1905";57,37;1;30;1;1;0,01;3070360;"GEHRCKENS";1;0,573684210526316;0;0,573684210526316;0;
"...4";"FA_Pos";"616034";"";15;1;3;150;;"412FA1000EXE300";1;"Runddichtring";"Ø 10,00 x Ø3,00";;1;1;1;1;1;58098;"14;07;1905";142,27;1;30;1;1;0,01;3070360;"GEHRCKENS";1;1,4228;0;1,4228;0;
"...4";"FA_Pos";"616034";"";16;1;3;160;;"421DF0350TKF002";1;"Radial-Dichtring";"";;1;1;1;1;1;56054;"13;07;1905";5113,49;1;30;1;1;0,01;3120090;"FREUDENBERG";1;51,1349;0;51,1349;0;
"...4";"FA_Pos";"616034";"";17;1;3;170;;"443G28119PEH079";1;"Dichtungseinsatz";"NE 32-200";;0;1;1;1;1;;;;;;;;;;"";1;0;0;27,1;0;
"....5";"FA_Serie";"443G28119PEH079";"624375";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;27,1;0;
".....6";"FA_Pos";"624375";"";1;0;3;10;;"EROØ270x80";1;"Ronde, Dichtungseins";"NE 50-32-200";;1;1;1;1;1;58465;"14;07;1905";27,1;1;1;1;1;1;3140100;"OTTEN";1;27,1;0;27,1;0;
"...4";"FA_Pos";"616034";"";18;1;1;180;;"463I20152PPP049";1;"Auffangschale";"NE-Gr.0 + NK/NE-Gr.1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;2,71;0;
"....5";"FA_Pos";"616034";"";19;18;3;190;;"463C20152PPPFT3";1;"Auffangschale";"FK/NK/NE-Grße 0/1";;1;1;1;1;1;58468;"14;07;1905";2,71;1;1;1;1;1;3060470;"FORMZEUG";1;2,71;0;2,71;0;
"...4";"FA_Pos";"616034";"";20;1;3;200;;"472I30140ISA019";1;"Gleitring";"Grße 1";;1;1;1;1;1;59372;"14;07;1905";15,56;1;1;1;1;1;4030070;"CERAMTEC";1;15,56;0;15,56;0;
"...4";"FA_Pos";"616034";"";21;1;3;210;;"475D30139ISA019";1;"Gegenring";"Grße 1";;1;1;1;1;1;58892;"14;07;1905";9,83;1;1;1;1;1;3050310;"ESK / 3M";1;9,83;0;9,83;0;
"...4";"FA_Pos";"616034";"";22;1;3;220;;"481G18432EXE019";1;"Elastomer-Faltenbalg";"NE/NK-Grße 1";;1;1;1;1;1;58272;"14;07;1905";319;1;30;1;1;0,01;3050330;"ERSO";1;3,19;0;3,19;0;
"...4";"FA_Pos";"616034";"";23;1;3;230;;"482E30514PPP019";1;"Faltenbalgträger";"NE Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;6,3523143205;0;
"....5";"FA_Serie";"482E30514PPP019";"610179";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;6,3523143205;0;
".....6";"FA_Pos";"610179";"";1;0;3;10;;"ERMPPØ140";1;"Rundmaterial";"Kunststoff";;1;73,1707;2;1000;5;57713;"13;07;1905";5,93;1;7;1;0,5;29,28;3040660;"DUEL";73,1707;6,3523143205;0;6,3523143205;0;
"...4";"FA_Pos";"616034";"";24;1;3;240;;"501E22339SCA019";1;"Ring, zweiteilig";"NE/NK-Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;0,137354166666667;
"....5";"FA_Serie";"501E22339SCA019";"622313";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;0,137354166666667;
".....6";"FA_Pos";"622313";"";1;0;3;10;;"ESTØ30B";1;"Rundstahl";"Stahl";;0;12,5;2;1000;5;54563;"12;07;1905";1980;1;18;5;1;0,00555;3080380;"HAKEN";12,5;0;0,137354166666667;0;0,137354166666667;
"...4";"FA_Pos";"616034";"";25;1;3;250;;"505E24968SXK039";1;"Schulterring";"NE - Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;1,74814166666667;
"....5";"FA_Serie";"505E24968SXK039";"622334";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;1,74814166666667;
".....6";"FA_Pos";"622334";"";1;0;3;10;;"ESTØ60";1;"Rundstahl";"Stahl";;0;10,1;2;1000;5;58141;"14;07;1905";7,75;1;7;5;1;22,33333;3080380;"HAKEN";10,1;0;1,74814166666667;0;1,74814166666667;
"...4";"FA_Pos";"616034";"";26;1;1;260;;"506E28232PAG019";1;"Haltering, Druckseit";"NE/NK-Grße 1+2";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;0,98;
"....5";"FA_Pos";"616034";"";27;26;3;270;;"506F28232PAGFT3";1;"Haltesegment";"NE/NK-Grße 1+2";;0;4;1;1;1;54343;"12;07;1905";24,5;1;30;1;1;0,01;3140160;"OMEGA";4;0;0,98;0;0,98;
"...4";"FA_Pos";"616034";"";28;1;3;280;;"506C30146SRB019";1;"Haltering, Saugseite";"NE/NK-02/03/04";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;2,8418;
"....5";"FA_Serie";"506C30146SRB019";"620027";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;2,8418;
".....6";"FA_Pos";"620027";"";1;0;3;10;;"ERRØ108x16";1;"nahtl. Siederohr";"Ø 108 x 16 mm";;0;26;2;1000;5;58648;"14;07;1905";109,3;1;5;5;1;1;3080380;"HAKEN";26;0;2,8418;0;2,8418;
"...4";"FA_Pos";"616034";"";29;1;3;290;;"507K24969SXK039";1;"Spritzring";"NE/NK/SP/WK, Gr. 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;3,14935675;
"....5";"FA_Serie";"507K24969SXK039";"618933";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;3,14935675;
".....6";"FA_Pos";"618933";"";1;0;3;10;;"ESTØ65A";1;"Rundstahl";"Stahl";;0;15,15;2;1000;5;59292;"14;07;1905";7,98;1;7;5;1;26,05;3200550;"THYSSEN";15,15;0;3,14935675;0;3,14935675;
"...4";"FA_Pos";"616034";"";30;1;3;300;;"511I28122GGG019";1;"Zentrierring";"Ø210/150x47";;0;1;1;1;1;;;;;;;;;;"";1;0;0;10,66;0;
"....5";"FA_Serie";"511I28122GGG019";"622653";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;10,66;0;
".....6";"FA_Pos";"622653";"";1;0;3;10;;"511K28122GGGFT3";1;"Zentrierring";"NE, Grße 1";;1;1;1;1;1;57897;"13;07;1905";3,28;1;7;1;1;3,25;3090180;"JÜRGENS";1;10,66;0;10,66;0;
"...4";"FA_Pos";"616034";"";31;1;3;310;;"524I28212IAA129";1;"Wellenschutzhlse";"NE-Grße 1";;1;1;1;1;1;58425;"14;07;1905";138,7;1;1;1;1;1;3020720;"BARAT";1;138,7;0;138,7;0;
"...4";"FA_Pos";"616034";"";32;1;3;320;;"550K22785SCA029";1;"Scheibe";"NE/NK, Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;2,426526875;
"....5";"FA_Serie";"550K22785SCA029";"600793";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0;2,426526875;
".....6";"FA_Pos";"600793";"";1;0;3;10;;"ESTØ105A";1;"Rundstahl";"Stahl";;0;12,75;2;1000;5;58254;"14;07;1905";2800;1;18;5;1;0,06797;3020210;"BRÜCK";12,75;0;2,426526875;0;2,426526875;
".....6";"FA_Pos";"600793";"";2;0;3;20;;"ESTØ105";1;"Rundstahl";"Stahl";;0;0;2;1000;5;41218;"06;07;1905";94;1;5;5;1;1;3080380;"HAKEN";0;0;0;0;0;
"...4";"FA_Pos";"616034";"";33;1;3;330;;"552EA0150SKF000";1;"Tellerfeder";"Ø56/28,5x2";;0;1;1;1;1;57579;"13;07;1905";52,75;1;30;1;1;0,01;3170170;"SN";1;0;0,5275;0;0,5275;
"...4";"FA_Pos";"616034";"";34;1;3;340;;"554IA0170SAA000";1;"Unterlegscheibe";"A17";;0;4;1;1;1;59017;"14;07;1905";5,99;1;30;1;1;0,01;3160010;"REYHER";4;0;0,2396;0;0,2396;
"...4";"FA_Pos";"616034";"";35;1;3;350;;"554IA0170SAA000";1;"Unterlegscheibe";"A17";;0;4;1;1;1;59017;"14;07;1905";5,99;1;30;1;1;0,01;3160010;"REYHER";4;0;0,2396;0;0,2396;
"...4";"FA_Pos";"616034";"";36;1;3;360;;"554GA0130SAA000";1;"Unterlegscheibe";"A13";;0;2;1;1;1;58715;"14;07;1905";3,76;1;30;1;1;0,01;3160010;"REYHER";2;0;0,0752;0;0,0752;
"...4";"FA_Pos";"616034";"";37;1;3;370;;"580IA0014PVC001";1;"Kappe";"R1/4""";;0;1;1;1;1;55668;"12;07;1905";6,13;1;1;1;1;1;3120060;"SPAETER";1;0;3,678;0;3,678;
"...4";"FA_Pos";"616034";"";38;1;1;380;;"683B30881PET049";1;"Haube, rechts";"NE-Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;9,8948;
"....5";"FA_Pos";"616034";"";39;38;1;390;;"683F30881PET019";1;"Haube, rechts";"NE-Grße 1";;1;1;1;1;1;;;;;;;;;;"";1;0;0;0;9,8948;
".....6";"FA_Pos";"616034";"";40;39;3;400;;"683L30881PETF13";1;"Haube, rechts";"NE-Grße 1";;0;1;1;1;1;57979;"13;07;1905";9,78;1;1;1;1;1;3120460;"META";1;0;9,78;0;9,78;
".....6";"FA_Pos";"616034";"";41;39;3;410;;"554AL0062PAM005";1;"Unverlierbarkeitssch";"";;0;1;1;1;1;58652;"14;07;1905";22,4;1;31;1;1;0,001;3020900;"BÜLTE";1;0;0,0224;0;0,0224;
".....6";"FA_Pos";"616034";"";42;39;3;420;;"901HB0008SAB016";1;"Sechskantschraube";"M8x16";;0;1;1;1;1;58889;"14;07;1905";9,24;1;30;1;1;0,01;3160010;"REYHER";1;0;0,0924;0;0,0924;
"...4";"FA_Pos";"616034";"";43;1;1;430;;"683I30881PET129";1;"Haube, links";"NE-Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;0,1148;
"....5";"FA_Pos";"616034";"";44;43;1;440;;"683C30881PET119";1;"Haube, links";"NE-Grße 1";;1;1;1;1;1;;;;;;;;;;"";1;0;0;0;0,1148;
".....6";"FA_Pos";"616034";"";45;44;3;450;;"683F30881PETF23";1;"Haube, links";"NE-Grße 1";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;0;
".....6";"FA_Pos";"616034";"";46;44;3;460;;"554AL0062PAM005";1;"Unverlierbarkeitssch";"";;0;1;1;1;1;58652;"14;07;1905";22,4;1;31;1;1;0,001;3020900;"BÜLTE";1;0;0,0224;0;0,0224;
".....6";"FA_Pos";"616034";"";47;44;3;470;;"901HB0008SAB016";1;"Sechskantschraube";"M8x16";;0;1;1;1;1;58889;"14;07;1905";9,24;1;30;1;1;0,01;3160010;"REYHER";1;0;0,0924;0;0,0924;
"...4";"FA_Pos";"616034";"";48;1;3;480;;"710AC0150SXK003";1;"Rohr";"Ø12x1x150";;0;1;1;1;1;58047;"13;07;1905";4,4;1;1;1;1;1;3160440;"RRG";1;0;4,4;0;4,4;
"...4";"FA_Pos";"616034";"";49;1;3;490;;"731IA0014SXK012";1;"Ermeto-Verschraubung";"12-G1/4A";;0;1;1;1;1;57610;"13;07;1905";5,79;1;1;1;1;1;3100730;"KRAUSE";1;0;5,79;0;5,79;
"...4";"FA_Pos";"616034";"";50;1;3;500;;"739CB0012PVC000";1;"Schlauchnippel";"R1/2""x66";;0;1;1;1;1;58777;"14;07;1905";1,45;1;1;1;1;1;3100730;"KRAUSE";1;0;1,45;0;1,45;
"...4";"FA_Pos";"616034";"";51;1;3;510;;"739L21062PPP209";1;"Schlauchnippel";"Grße 0-4";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0,2628;0;
"....5";"FA_Serie";"739L21062PPP209";"619354";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0,2628;0;
".....6";"FA_Pos";"619354";"";1;0;3;10;;"ERMPPØ20";1;"Rundmaterial";"Kunststoff";;1;120;2;1000;5;59176;"14;07;1905";7,3;1;7;1;0,5;0,6;3040660;"DUEL";120;0,2628;0;0,2628;0;
"...4";"FA_Pos";"616034";"";52;1;3;520;;"739C21062PPP059";1;"Schlauchnippel";"NE-Grße 1-3";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0,31285683;0;
"....5";"FA_Serie";"739C21062PPP059";"623883";;;;1;0;"";;"";"";;;1;;;;;;;;;;;;;"";1;0;0;0,31285683;0;
".....6";"FA_Pos";"623883";"";1;0;3;10;;"ERMPPØ20";1;"Rundmaterial";"Kunststoff";;1;142,857;2;1000;5;59176;"14;07;1905";7,3;1;7;1;0,5;0,6;3040660;"DUEL";142,857;0,31285683;0;0,31285683;0;
"...4";"FA_Pos";"616034";"";53;1;3;530;;"790HA0005PPP000";1;"Durchflußkonstanthal";"0,5 l/min. - yellow";;1;1;1;1;1;58923;"14;07;1905";103,57;1;30;1;1;0,01;3230740;"NEOPERL";1;1,0357;0;1,0357;0;
"...4";"FA_Pos";"616034";"";54;1;3;540;;"901DB0012SAA035";1;"Sechskantschraube";"M12x35";;0;1;1;1;1;;;;;;;;;;"";1;0;0;0;0;
"...4";"FA_Pos";"616034";"";55;1;3;550;;"902KA0016SAA045";1;"Stiftschraube";"M16x45";;0;4;1;1;1;58781;"14;07;1905";141,38;1;30;1;1;0,01;3230430;"WASI";4;0;5,6552;0;5,6552;
"...4";"FA_Pos";"616034";"";56;1;3;560;;"902HA0016SAA070";1;"Stiftschraube";"M16x70";;0;4;1;1;1;59219;"14;07;1905";152,47;1;30;1;1;0,01;3160010;"REYHER";4;0;6,0988;0;6,0988;
"...4";"FA_Pos";"616034";"";57;1;3;570;;"902HA0012SAA030";1;"Stiftschraube";"M12x30";;0;6;1;1;1;57738;"13;07;1905";37,06;1;30;1;1;0,01;3230430;"WASI";6;0;2,2236;0;2,2236;
"...4";"FA_Pos";"616034";"";58;1;3;580;;"902HA0012SAA030";1;"Stiftschraube";"M12x30";;0;6;1;1;1;57738;"13;07;1905";37,06;1;30;1;1;0,01;3230430;"WASI";6;0;2,2236;0;2,2236;
"...4";"FA_Pos";"616034";"";59;1;3;590;;"904HC0012SAA045";1;"Gewindestift";"M12x45";;0;2;1;1;1;58313;"14;07;1905";95;1;30;1;1;0,01;3040790;"DSK";2;0;1,9;0;1,9;
"...4";"FA_Pos";"616034";"";60;1;3;600;;"914CC0016SAA030";1;"Zylinderschraube";"M16x30";;0;2;1;1;1;58780;"14;07;1905";90,94;1;30;1;1;0,01;3160010;"REYHER";2;0;1,8188;0;1,8188;
"...4";"FA_Pos";"616034";"";61;1;3;610;;"916K21061PVC019";1;"Stopfen";"FK/NK/NE";;1;1;1;1;1;58786;"14;07;1905";1,71;1;1;1;1;1;3100090;"KERREN";1;1,71;0;1,71;0;
"...4";"FA_Pos";"616034";"";62;1;3;620;;"920AA0016SAA000";1;"Sechskantmutter";"M16";;0;4;1;1;1;59065;"14;07;1905";15,8;1;1;1;1;0,01;3160010;"REYHER";4;0;0,632;0;0,632;
"...4";"FA_Pos";"616034";"";63;1;3;630;;"920AA0016SAA000";1;"Sechskantmutter";"M16";;0;4;1;1;1;59065;"14;07;1905";15,8;1;1;1;1;0,01;3160010;"REYHER";4;0;0,632;0;0,632;
"...4";"FA_Pos";"616034";"";64;1;3;640;;"920CA0012SAA000";1;"Sechskantmutter";"M12";;0;6;1;1;1;58564;"14;07;1905";10,2;1;30;1;1;0,01;3230430;"WASI";6;0;0,612;0;0,612;
"...4";"FA_Pos";"616034";"";65;1;3;650;;"920CA0012SAA000";1;"Sechskantmutter";"M12";;0;6;1;1;1;58564;"14;07;1905";10,2;1;30;1;1;0,01;3230430;"WASI";6;0;0,612;0;0,612;
"...4";"FA_Pos";"616034";"";66;1;3;660;;"920AB0012SAA000";1;"Sechskantmutter";"M12";;0;2;1;1;1;59353;"14;07;1905";5,51;1;30;1;1;0,01;3130200;"NORM";2;0;0,1102;0;0,1102;
"...4";"FA_Pos";"616034";"";67;1;3;670;;"920CA0012SAA000";1;"Sechskantmutter";"M12";;0;1;1;1;1;58564;"14;07;1905";10,2;1;30;1;1;0,01;3230430;"WASI";1;0;0,102;0;0,102;
"..3";"FA_Pos";"616034";"";68;0;1;680;;"G-003-006-A2";0;"Vorlage Grundplatten";"32-200 / 90L";;0;1;1;1;1;;;;;;;;;;"";1;0;0;275,07;4,7314;
"...4";"FA_Pos";"616034";"";69;68;3;690;;"554GA0130SAA000";1;"Unterlegscheibe";"A13";;0;4;1;1;1;58715;"14;07;1905";3,76;1;30;1;1;0,01;3160010;"REYHER";4;0;0,1504;0;0,1504;
"...4";"FA_Pos";"616034";"";70;68;3;700;;"554GA0130SAA000";1;"Unterlegscheibe";"A13";;0;2;1;1;1;58715;"14;07;1905";3,76;1;30;1;1;0,01;3160010;"REYHER";2;0;0,0752;0;0,0752;
